name,demand,cutoff,yield
Michigan Technological University,1153,0.5513614582141966,0.33
University of Michigan-Flint,724,0.06242704878203859,0.31
Kuyper College,37,0.050513580705971735,0.36
Spring Arbor University,368,0.19935527760616292,0.21
Carleton College,527,0.8758521801183043,0.36
Concordia University-Saint Paul,287,0.05732895507914218,0.4
Hamline University,536,0.31655227550127174,0.24
Macalester College,555,0.8153250461524785,0.24
University of Minnesota-Twin Cities,5544,0.6740971127325017,0.29
University of Minnesota-Crookston,213,0.09012863813348664,0.4
University of Minnesota-Duluth,2054,0.28001684870053795,0.37
University of Minnesota-Morris,469,0.4666130273799935,0.31
College of Saint Benedict,538,0.4426223430001023,0.34
Saint Johns University,497,0.42711469486948206,0.38
St Olaf College,752,0.7220948777640659,0.32
The College of Saint Scholastica,432,0.237196103442613,0.33
Blue Mountain College,83,0.05611613503187686,0.25
Rust College,287,0.0,0.66
Central Methodist University-College of Liberal Arts and Sciences,291,0.09460842178604272,0.35
Drury University,325,0.41738237837257935,0.37
Evangel University,460,0.15113794864764518,0.52
Fontbonne University,160,0.1788693496083097,0.36
Lindenwood University,1369,0.12445461139000617,0.61
Missouri Valley College,415,0.05014839801950007,0.86
College of the Ozarks,357,0.14013893354311713,0.91
Stephens College,168,0.1603041609979297,0.32
Washington University in St Louis,1610,0.9364358985581124,0.34
Webster University,418,0.31382105826997225,0.41
Westminster College,261,0.27856547727411274,0.26
Carroll College,315,0.28033499116724636,0.18
Montana Tech of the University of Montana,262,0.3046953796249317,0.5
Montana State University,2914,0.3276100692384869,0.27
The University of Montana,1967,0.23751656249770814,0.43
Montana State University-Northern,200,0.013204994734132088,0.53
Rocky Mountain College,238,0.08034700118503019,0.26
Creighton University,966,0.5682992958980222,0.24
Doane College-Crete,287,0.2237364019062339,0.22
Grace University,96,0.08468336624625515,0.63
University of Nevada-Las Vegas,3773,0.05503233192765927,0.6
University of Nevada-Reno,2994,0.1799741872971389,0.45
Dartmouth College,1098,0.9168537427510481,0.49
Franklin Pierce University,538,0.02717271727172719,0.18
Plymouth State University,930,0.019585639330354326,0.23
Rivier University,223,0.0214084243469599,0.27
Saint Anselm College,508,0.38671148857571835,0.18
Centenary College,216,0.003566588652248928,0.23
Drew University,400,0.3018229735966066,0.15
Felician College,153,0.0,0.11
Monmouth University,906,0.15133067045260223,0.21
New Jersey Institute of Technology,1029,0.31657002652418714,0.36
Princeton University,1285,0.9445041708103011,0.65
Ramapo College of New Jersey,901,0.22386785039812834,0.26
Rider University,911,0.0980648776028425,0.16
Saint Peter's University,610,0.0,0.18
Seton Hall University,1342,0.31175467517358163,0.16
The Richard Stockton College of New Jersey,1069,0.14756586188411103,0.28
New Mexico State University-Main Campus,1918,0.04479902008058466,0.42
Adelphi University,918,0.27857599434225516,0.16
Barnard College,580,0.8155670093335868,0.5
Clarkson University,757,0.4486329332473443,0.18
Columbia University in the City of New York,1415,0.9338412926737444,0.6
Concordia College-New York,153,0.0036752136752136832,0.17
Cooper Union for the Advancement of Science and Art,186,0.8295795648385419,0.75
Cornell University,3223,0.8983923211754432,0.52
D'Youville College,258,0.11353909246286721,0.28
Dominican College of Blauvelt,286,0.006340602048442538,0.25
Fordham University,1967,0.6698398087267974,0.12
Hamilton College,491,0.861783735462946,0.36
Hartwick College,528,0.3121685364778046,0.12
Houghton College,223,0.30412668095331047,0.3
LIU Brooklyn,879,0.0014049686704979403,0.18
LIU Post,659,0.04184810877336446,0.14
Manhattan College,757,0.20536318051573035,0.16
Marymount Manhattan College,399,0.17792060546778105,0.13
Molloy College,501,0.13832935485746783,0.21
College of Mount Saint Vincent,386,0.009601849204852948,0.22
The College of New Rochelle,532,0.06792872482505291,0.6
New York University,5207,0.8256319655263834,0.35
Polytechnic Institute of New York University,451,0.7002846484621171,0.17
Roberts Wesleyan College,206,0.10520296109990898,0.35
Rochester Institute of Technology,2784,0.5918152363036956,0.28
University of Rochester,1472,0.8191158924072817,0.24
St Bonaventure University,438,0.18228353282089352,0.2
St Thomas Aquinas College,337,0.002579169540044528,0.22
Siena College,734,0.30177835116540036,0.13
Skidmore College,660,0.6635166867432413,0.23
Saint Joseph's College-New York,547,0.12424815646728755,0.23
Saint John Fisher College,521,0.20913237419623149,0.21
SUNY at Binghamton,2664,0.719148496965103,0.22
Stony Brook University,2709,0.6358138908405053,0.23
SUNY College at Brockport,1085,0.150231122362506,0.27
State University of New York at New Paltz,1119,0.32775339322493785,0.2
SUNY Oneonta,1119,0.20770946140144594,0.21
SUNY at Purchase College,775,0.2373343965151781,0.28
SUNY College at Old Westbury,410,0.06717342649519428,0.21
SUNY Maritime College,331,0.11227089330425137,0.4
Syracuse University,3487,0.44359625791366664,0.25
Union College,559,0.7598438500352956,0.26
Utica College,489,0.011931860218432774,0.16
Vassar College,666,0.8696408321397618,0.36
Wagner College,430,0.4182429265402103,0.21
Wells College,161,0.1680042013878553,0.12
Yeshiva University,857,0.5921147964374321,0.66
Appalachian State University,3028,0.3700129196385399,0.39
Barton College,217,0.025679438296192278,0.18
Campbell University,788,0.23515222104576802,0.1
Chowan University,474,0.0,0.21
Davidson College,483,0.8146675969575123,0.4
Duke University,1714,0.9180106538737844,0.42
East Carolina University,4015,0.12908482063821242,0.42
Elizabeth City State University,527,0.0,0.23
Elon University,1474,0.538928229695057,0.27
Fayetteville State University,612,0.0010813705623624193,0.28
Gardner-Webb University,435,0.06891141440416443,0.16
