name,demand,cutoff,yield,trueyield,preferability
Pennsylvania State University-Penn State Wilkes-Barre,148,0.016835707562455872,0.38,0.00019991626991435295,1.650383772793052e-6
Pfeiffer University,218,0.017370826334486035,0.14,0.0002946316251749627,2.4516870033903803e-6
Mary Baldwin College,218,0.01780744337356814,0.08,0.0002947625986657878,2.4687740422422112e-6
Carlow University,206,0.017825905451508865,0.32,0.0002785423702245249,2.3335627632903245e-6
Lynn University,456,0.017902876372073048,0.22,0.0006166275510989705,5.171856036399603e-6
Mount Mary University,115,0.018079899891707815,0.45,0.00015553717683366078,1.3079394438827668e-6
Hope International University,78,0.018189639650000207,0.41,0.00010550657226296488,8.886551855953914e-7
Pennsylvania State University-Penn State York,300,0.018478691972428737,0.27,0.00040591401282879754,3.4334872852065873e-6
Pennsylvania State University-Penn State Berks,814,0.018696343871677217,0.38,0.0011016243061593924,9.348086756047615e-6
California University of Pennsylvania,1154,0.019116277753035236,0.41,0.00156243084110338,1.3339322018202077e-5
Plymouth State University,930,0.019585639330354326,0.23,0.001259754174646708,1.0827322571420246e-5
Adams State University,519,0.019971155275427036,0.37,0.0007033006539410707,6.077555994728663e-6
University of Pittsburgh-Bradford,379,0.02122289073854507,0.47,0.000514242454144733,4.5228332308253275e-6
Rivier University,223,0.0214084243469599,0.27,0.00030263274141112146,2.6686831904757007e-6
Immaculata University,247,0.021745622827198226,0.19,0.0003353186238074354,2.971027537571553e-6
Frostburg State University,895,0.02202957086718184,0.39,0.0012153736985984001,1.0811840568522519e-5
Indiana University-East,404,0.023230170336771775,0.62,0.0005492899461419895,4.969340660381111e-6
Barton College,217,0.025679438296192278,0.18,0.0002957810781508967,2.7713423157835465e-6
Lander University,569,0.025679438296192278,0.4,0.0007755734261191715,7.266791602215843e-6
Kutztown University of Pennsylvania,1815,0.026058170429241752,0.29,0.0024748913193449133,2.3315443127644367e-5
Wesleyan College,117,0.026198774740810008,0.35,0.00015956148397516706,1.5061366846194464e-6
Chestnut Hill College,192,0.027164714776566637,0.18,0.00026210447511187864,2.507720145015489e-6
Franklin Pierce University,538,0.02717271727172719,0.18,0.0007344446228083848,7.027688203510257e-6
Shorter University,309,0.02719523847339807,0.28,0.0004218376252178463,4.037704514779298e-6
